PFI,UFI,FTYPE_CODE,NAME,NFEAT_ID,NUNIQ_LOC,STATE,FQID,CRDATE_PFI,SUPER_PFI,CRDATE_UFI,x_centroid,y_centroid
4.16149e+06,5.09899e+07,locality,REDESDALE,12180,REDESDALE,VIC,4897,2002-01-14,0,2016-07-06,144.48403831628349,-37.009292605139031
4.16011e+06,5.31446e+07,locality,JAN JUC,427,JAN JUC,VIC,4712,2002-01-14,0,2017-07-20,144.29533280788092,-38.344672178182506
4.16196e+06,5.0989e+07,locality,KINNABULLA,1323,KINNABULLA,VIC,4897,2002-01-14,0,2016-07-06,142.71782613790316,-35.898307176758237
1.33157e+07,5.0989e+07,locality,HOWLONG (NSW),14977,HOWLONG (NSW),NSW,5684,2008-07-17,0,2016-07-06,146.62492438105951,-35.955941150412706
4.16196e+06,5.0989e+07,locality,WHIRILY,11866,WHIRILY,VIC,4897,2002-01-14,0,2016-07-06,142.99289011534486,-35.920052109713758
4.16196e+06,5.0989e+07,locality,OAKVALE,11867,OAKVALE,VIC,4897,2002-01-14,0,2016-07-06,143.54325923866881,-35.930036594701136
4.16197e+06,5.0989e+07,locality,KARYRIE,11868,KARYRIE,VIC,4897,2002-01-14,0,2016-07-06,142.85021234151290,-35.926069214189681
4.16197e+06,5.0989e+07,locality,TOWANINNY SOUTH,11869,TOWANINNY SOUTH,VIC,4897,2002-01-14,0,2016-07-06,143.33411188350985,-35.941912699761843
1.53058e+07,5.0989e+07,locality,JINDEN (NSW),37110,JINDEN (NSW),NSW,5817,2011-06-23,0,2016-07-06,149.49409492953851,-35.850134118823590
4.16209e+06,5.21936e+07,locality,TUROAR,11796,TUROAR,VIC,4897,2002-01-14,0,2016-12-02,143.08363170980016,-35.180114168998408
4.16197e+06,5.0989e+07,locality,KENMARE,11870,KENMARE,VIC,4897,2002-01-14,0,2016-07-06,142.20479781677801,-35.934395303165886
1.33157e+07,5.0989e+07,locality,COLLENDINA (NSW),14978,COLLENDINA (NSW),NSW,5684,2008-07-17,0,2016-07-06,146.22230855187237,-35.974474030872059
4.16209e+06,5.21936e+07,locality,CHINKAPOOK,1155,CHINKAPOOK,VIC,4897,2002-01-14,0,2016-12-02,142.94868790619603,-35.185136427317779
4.16209e+06,5.21936e+07,locality,GERAHMIN,11797,GERAHMIN,VIC,4897,2002-01-14,0,2016-12-02,142.80043538810594,-35.173147409725836
4.16207e+06,5.21936e+07,locality,TYRRELL DOWNS,11805,TYRRELL DOWNS,VIC,4897,2002-01-14,0,2016-12-02,142.93404043928345,-35.313524149884607
1.33157e+07,5.0989e+07,locality,MOORWATHA (NSW),14976,MOORWATHA (NSW),NSW,5684,2008-07-17,0,2016-07-06,146.72865723289283,-35.918975146297811
1.33157e+07,5.0989e+07,locality,COLINTON (NSW),22376,COLINTON (NSW),NSW,5684,2008-07-17,0,2016-07-06,149.19032711965093,-35.860297550421876
9.91032e+06,5.09893e+07,locality,MARIONVALE,12738,MARIONVALE,VIC,4897,2002-01-30,0,2016-07-06,145.52637045033200,-36.263712056869359
4.16186e+06,5.09893e+07,locality,BORUNG,1115,BORUNG,VIC,4897,2002-01-14,0,2016-07-06,143.78030718533978,-36.294267503063608
9.91032e+06,5.09893e+07,locality,BOWEYA,12739,BOWEYA,VIC,4897,2002-01-30,0,2016-07-06,146.12059932736500,-36.274760870073123
9.97175e+06,5.09893e+07,locality,NARIEL VALLEY,13064,NARIEL VALLEY,VIC,4712,2002-02-25,0,2016-07-06,147.84007812031260,-36.507222982646937
1.31688e+07,5.09893e+07,locality,TALLANGATTA SOUTH,26558,TALLANGATTA SOUTH,VIC,5620,2007-08-01,0,2016-07-06,147.28153774370705,-36.324042811009463
1.33157e+07,5.09893e+07,locality,ROCKY PLAIN (NSW),22408,ROCKY PLAIN (NSW),NSW,5684,2008-07-17,0,2016-07-06,148.67113940339547,-36.244340259622170
9.97174e+06,5.09893e+07,locality,LUCYVALE,13059,LUCYVALE,VIC,4712,2002-02-25,0,2016-07-06,147.60853604151143,-36.302708076989219
9.91033e+06,5.09893e+07,locality,ZEERUST,12740,ZEERUST,VIC,4897,2002-01-30,0,2016-07-06,145.39674015131496,-36.274022972179651
9.91033e+06,5.09893e+07,locality,CONGUPNA,1165,CONGUPNA,VIC,4897,2002-01-30,0,2016-07-06,145.46917608519871,-36.294607813897429
1.17986e+07,5.09893e+07,locality,KYVALLEY,1339,KYVALLEY,VIC,4897,2006-07-25,9.91032e+06,2016-07-06,145.00553721551671,-36.280684264762201
9.91033e+06,5.09893e+07,locality,LANCASTER,12741,LANCASTER,VIC,4897,2002-01-30,0,2016-07-06,145.14253846732552,-36.310132874399706
1.33157e+07,5.09893e+07,locality,MIDDLE FLAT (NSW),22409,MIDDLE FLAT (NSW),NSW,5684,2008-07-17,0,2016-07-06,149.19186650076219,-36.235734242055479
4.16175e+06,5.09896e+07,locality,BADDAGINNIE,1076,BADDAGINNIE,VIC,4897,2002-01-14,0,2016-07-06,145.86305146969116,-36.604163126566235
4.16175e+06,5.09896e+07,locality,UPPER LURG,12008,UPPER LURG,VIC,4897,2002-01-14,0,2016-07-06,146.19123928536797,-36.584208819640352
4.16175e+06,5.09896e+07,locality,BAGSHOT NORTH,12009,BAGSHOT NORTH,VIC,4897,2002-01-14,0,2016-07-06,144.41365836372918,-36.586315338837075
4.16173e+06,5.09896e+07,locality,PERONNE,12010,PERONNE,VIC,4897,2002-01-14,0,2016-07-06,141.37216913975450,-36.660757002377991
4.16172e+06,5.09896e+07,locality,WEHLA,12011,WEHLA,VIC,4897,2002-01-14,0,2016-07-06,143.62776519267123,-36.609003757810846
4.16172e+06,5.09896e+07,locality,TAMLEUGH,12012,TAMLEUGH,VIC,4897,2002-01-14,0,2016-07-06,145.58331938206757,-36.590296328387794
1.33158e+07,5.09896e+07,locality,MAFFRA (NSW),22445,MAFFRA (NSW),NSW,5684,2008-07-17,0,2016-07-06,148.97283566609974,-36.540895080388417
4.16172e+06,5.09896e+07,locality,ARCADIA SOUTH,12013,ARCADIA SOUTH,VIC,4897,2002-01-14,0,2016-07-06,145.38096856119873,-36.593776760292094
4.16172e+06,5.09896e+07,locality,MIEPOLL,12014,MIEPOLL,VIC,4897,2002-01-14,0,2016-07-06,145.48071962817332,-36.609437442332322
1.38571e+07,5.09896e+07,locality,BANGHAM (SA),18340,BANGHAM (SA),SA,5734,2009-05-14,0,2016-07-06,140.88032691456402,-36.581542310898094
9.91039e+06,5.09896e+07,locality,MURCHISON,1431,MURCHISON,VIC,4897,2002-01-30,0,2016-07-06,145.17935080398863,-36.625132272933200
4.1615e+06,5.09899e+07,locality,TULKARA,12182,TULKARA,VIC,4897,2002-01-14,0,2016-07-06,143.04854083586974,-36.943901519215714
4.1615e+06,5.09899e+07,locality,CLEAR LAKE,9945,CLEAR LAKE,VIC,4897,2002-01-14,0,2016-07-06,141.89353610165838,-36.936569612717818
4.1615e+06,5.09899e+07,locality,WALMER,12183,WALMER,VIC,4897,2002-01-14,0,2016-07-06,144.16035408570573,-36.978086621199992
1.33159e+07,5.09899e+07,locality,COOLUMBOOKA (NSW),22506,COOLUMBOOKA (NSW),NSW,5684,2008-07-17,0,2016-07-06,149.33912556707688,-36.919314826525437
4.1615e+06,5.09899e+07,locality,NUGGETTY,12185,NUGGETTY,VIC,4897,2002-01-14,0,2016-07-06,144.05496182446245,-36.952811556035790
4.16147e+06,5.099e+07,locality,ARGYLE,12187,ARGYLE,VIC,4897,2002-01-14,0,2016-07-06,144.71696635894662,-36.967478160474741
1.33159e+07,5.099e+07,locality,YELLOW PINCH (NSW),22507,YELLOW PINCH (NSW),NSW,5684,2008-07-17,0,2016-07-06,149.83536887690377,-36.858199865592809
4.16149e+06,5.09899e+07,locality,BARINGHUP WEST,12181,BARINGHUP WEST,VIC,4897,2002-01-14,0,2016-07-06,143.90308513589795,-36.956200869135699
