PFI,UFI,FTYPE_CODE,NAME,NFEAT_ID,NUNIQ_LOC,STATE,FQID,CRDATE_PFI,SUPER_PFI,CRDATE_UFI
4.16144e+06,5.29467e+07,locality,WHITEHEADS CREEK,9593,WHITEHEADS CREEK,VIC,4897,2002-01-14,0,2017-05-09
4.16144e+06,5.29467e+07,locality,HIGHLANDS,12218,HIGHLANDS,VIC,4897,2002-01-14,0,2017-05-09
4.16141e+06,5.29467e+07,locality,GLENAROUA,12221,GLENAROUA,VIC,4897,2002-01-14,0,2017-05-09
4.16142e+06,5.29467e+07,locality,KANUMBRA,1310,KANUMBRA,VIC,4897,2002-01-14,0,2017-05-09
4.16141e+06,5.29467e+07,locality,YARCK,1660,YARCK,VIC,4897,2002-01-14,0,2017-05-09
4.1614e+06,5.29467e+07,locality,PYALONG,1500,PYALONG,VIC,4897,2002-01-14,0,2017-05-09
4.1614e+06,5.29467e+07,locality,TALLAROOK,1565,TALLAROOK,VIC,4897,2002-01-14,0,2017-05-09
1.03769e+07,5.29467e+07,locality,SUGARLOAF CREEK,9043,SUGARLOAF CREEK,VIC,5252,2004-01-29,0,2017-05-09
4.16139e+06,5.29467e+07,locality,GHIN GHIN,12250,GHIN GHIN,VIC,4897,2002-01-14,0,2017-05-09
4.16139e+06,5.29467e+07,locality,TRAWOOL,1596,TRAWOOL,VIC,4897,2002-01-14,0,2017-05-09
4.16137e+06,5.29467e+07,locality,MOLESWORTH,1416,MOLESWORTH,VIC,4897,2002-01-14,0,2017-05-09
4.16135e+06,5.29467e+07,locality,CATHKIN,1146,CATHKIN,VIC,4897,2002-01-14,0,2017-05-09
4.16128e+06,5.09902e+07,locality,GOLDIE,372,GOLDIE,VIC,4712,2002-01-14,0,2016-07-06
4.16128e+06,5.09902e+07,locality,ARMSTRONG,1072,ARMSTRONG,VIC,4897,2002-01-14,0,2016-07-06
4.16128e+06,5.09902e+07,locality,FRANKLINFORD,12318,FRANKLINFORD,VIC,4897,2002-01-14,0,2016-07-06
4.16129e+06,5.09903e+07,locality,DRUMMOND,12320,DRUMMOND,VIC,4897,2002-01-14,0,2016-07-06
4.16124e+06,5.09903e+07,locality,EVANSFORD,12331,EVANSFORD,VIC,4897,2002-01-14,0,2016-07-06
4.16127e+06,5.09903e+07,locality,STONY CREEK (TALBOT),12805,STONY CREEK,VIC,4897,2002-01-14,0,2016-07-06
4.16125e+06,5.09903e+07,locality,MOUNT COLE,12321,MOUNT COLE,VIC,4897,2002-01-14,0,2016-07-06
4.16126e+06,5.09903e+07,locality,THORNTON,12322,THORNTON,VIC,4897,2002-01-14,0,2016-07-06
4.16103e+06,5.09906e+07,locality,BUNGAREE,1131,BUNGAREE,VIC,4897,2002-01-14,0,2016-07-06
4.16103e+06,5.09906e+07,locality,STONELEIGH,12451,STONELEIGH,VIC,4897,2002-01-14,0,2016-07-06
1.38571e+07,5.09906e+07,locality,KRONGART (SA),18374,KRONGART (SA),SA,5734,2009-05-14,0,2016-07-06
4.16103e+06,5.09906e+07,locality,GONG GONG,12452,GONG GONG,VIC,4897,2002-01-14,0,2016-07-06
4.161e+06,5.09906e+07,locality,BALLAN,90,BALLAN,VIC,4712,2002-01-14,0,2016-07-06
4.16102e+06,5.09906e+07,locality,STEELS CREEK,737,STEELS CREEK,VIC,4712,2002-01-14,0,2016-07-06
9.91042e+06,5.09906e+07,locality,WRATHUNG,12821,WRATHUNG,VIC,4897,2002-01-30,0,2016-07-06
1.38571e+07,5.09906e+07,locality,MOERLONG (SA),18375,MOERLONG (SA),SA,5734,2009-05-14,0,2016-07-06
1.38571e+07,5.09906e+07,locality,KALANGADOO (SA),18377,KALANGADOO (SA),SA,5734,2009-05-14,0,2016-07-06
4.16071e+06,5.0991e+07,locality,MAIDSTONE,502,MAIDSTONE,VIC,4712,2002-01-14,0,2016-07-06
